scalar,RGB_r,RGB_g,RGB_b
0.0,0.9019609615426805,0.0,1.8828543269501915e-07
0.00392156862745098,0.9053802339661111,0.04948852050647611,0.013039912771349202
0.00784313725490196,0.9085742658800825,0.08492205024795468,0.027146480012181035
0.011764705882352941,0.9115440147658516,0.11116341780745606,0.04225562743919455
0.01568627450980392,0.9142905009481477,0.13283418504845143,0.05632845003613584
0.0196078431372549,0.9168148055071547,0.15165342219368233,0.06897387919514603
0.023529411764705882,0.9191180683310058,0.1684771342541302,0.08064113941198917
0.027450980392156862,0.9212014862948475,0.1838014709946304,0.09158555357733489
0.03137254901960784,0.9230663115539637,0.19794271505756827,0.10196652316221266
0.03529411764705882,0.9247138499397483,0.21111617748765793,0.11189017416890798
0.0392156862745098,0.9261454594484754,0.22347567420897024,0.12143054310515494
0.043137254901960784,0.9273625488138184,0.23513522807856407,0.13064113894827506
0.047058823529411764,0.9283665761550078,0.24618187453242296,0.13956171456640132
0.050980392156862744,0.9291590476933129,0.25668364767980856,0.14822245737263287
0.054901960784313725,0.9297415165302668,0.2666947875597861,0.15664670041389575
0.058823529411764705,0.9301155814817087,0.27625926226263575,0.1648527414141995
0.06274509803921569,0.9302828859622932,0.28541322458090457,0.17285510112517885
0.06666666666666667,0.9302451169156435,0.294186770879231,0.1806654166859021
0.07058823529411765,0.9300040037857933,0.30260522904898535,0.1882930901718607
0.07450980392156863,0.9295613175259777,0.31069012029205983,0.19574576864246185
0.0784313725490196,0.9289188696412203,0.31845988980470324,0.20302970556418365
0.08235294117647059,0.9280785112614919,0.32593047041496587,0.21015003704726382
0.08627450980392157,0.9270421322425364,0.3331157233107041,0.21711099582049798
0.09019607843137255,0.9258116602917238,0.3400277868860324,0.22391607897719096
0.09411764705882353,0.9243890601165431,0.3466773559132467,0.23056818090737974
0.09803921568627451,0.9227763325935772,0.3530739071930481,0.23706969967527247
0.10196078431372549,0.9209755139559965,0.3592258836055732,0.24342262290493616
0.10588235294117647,0.9189886749978001,0.3651408454804564,0.24962859768454176
0.10980392156862745,0.9168179202931941,0.37082559603870463,0.2556889878852278
0.11372549019607843,0.9144653874296524,0.37628628607710185,0.26160492148022113
0.11764705882352941,0.9119332462533334,0.381528501895423,0.2673773298530052
0.12156862745098039,0.9092236981256664,0.3865573395909152,0.27300698063878437
0.12549019607843137,0.9063389751900129,0.3913774681820493,0.2784945053088038
0.12941176470588234,0.9032813396474324,0.3959931835175564,0.28384042245268
0.13333333333333333,0.9000530830406551,0.40040845453669405,0.2890451575186989
0.13725490196078433,0.8966565255454708,0.4046269631434037,0.2941090596210357
0.1411764705882353,0.8930940152687998,0.4086521387193084,0.29903241590505
0.14509803921568626,0.8893679275527937,0.41248718811278245,0.30381546386928754
0.14901960784313725,0.8854806642843849,0.4161351217920461,0.30845840196959234
0.15294117647058825,0.8814346532097446,0.41959877673071055,0.3129613987724098
0.1568627450980392,0.8772323472531769,0.42288083649792396,0.31732460087764114
0.16078431372549018,0.8728762238400245,0.42598384894724844,0.32154813979373065
0.16470588235294117,0.8683687842232064,0.4289102418348111,0.3256321379171438
0.16862745098039217,0.8637125528130395,0.43166233664518644,0.32957671374350606
0.17254901960784313,0.858910076510054,0.4342423608605778,0.33338198641731975
0.1764705882352941,0.8539639240405276,0.4366524588733933,0.3370480797104036
0.1803921568627451,0.8488766852945113,0.43889470171281264,0.34057512550537145
0.1843137254901961,0.8436509706661369,0.4409710957313501,0.34396326684895656
0.18823529411764706,0.8382894103960331,0.442883590376777,0.34721266063043826
0.19215686274509802,0.8327946539156987,0.44463408515742486,0.35032347993239743
0.19607843137254902,0.8271693691937009,0.4462244358942343,0.35329591609432504
0.2,0.821416242083597,0.4476564603404855,0.3561301805239327
0.20392156862745098,0.8155379756734904,0.44893194323959557,0.3588265062862354
0.20784313725490194,0.8095372896371507,0.4500526408823415,0.36138514949641387
0.21176470588235294,0.8034169195866477,0.4510202852171579,0.36380639053901337
0.21568627450980393,0.7971796164264685,0.45183658756053485,0.3660905351330931
0.2196078431372549,0.7908281457090879,0.4525032419488357,0.3682379152604173
0.22352941176470587,0.7843652869919927,0.4530219281679238,0.3702488899716202
0.22745098039215686,0.7777938331961611,0.45339431449273754,0.37212384608341814
0.23137254901960785,0.7711165899660147,0.4536220601652326,0.3738631987783406
0.23529411764705882,0.764336375030876,0.45370681763590465,0.375467392117067
0.2392156862745098,0.7574560175679599,0.45365023459129,0.3769368994722534
0.24313725490196078,0.7504783575669591,0.45345395578737907,0.3782722238916982
0.24705882352941178,0.743406245196268,0.45311962470674055,0.3794738983977826
0.25098039215686274,0.7362425401709233,0.4526488850552483,0.3805424862293422
0.2549019607843137,0.7289901111223156,0.45204338211264466,0.38147858103141996
0.2588235294117647,0.7216518349697717,0.45130476394971414,0.38228280699776884
0.2627450980392157,0.714230596294076,0.4504346825235353,0.3829558189704238
0.26666666666666666,0.7067292867130353,0.4494347946611352,0.3834983025002084
0.27058823529411763,0.699150804259171,0.44830676294086175,0.38391097387163275
0.27450980392156865,0.6914980527596566,0.44705225647987007,0.38419458009527574
0.2784313725490196,0.683773941218592,0.4456729516353302,0.3843498988704283
0.2823529411764706,0.6759813832017314,0.44417053262623907,0.3843777385204946
0.28627450980392155,0.6681232962237768,0.4425466920820815,0.3842789379034016
0.2901960784313725,0.6602026011383543,0.440803131524014,0.3840543662990423
0.29411764705882354,0.6522222215307865,0.4389415617837332,0.38370492327558925
0.2980392156862745,0.6441850831137867,0.43696370336473,0.3832315385363371
0.30196078431372547,0.6360941131261857,0.4348712867502205,0.3826351717485827
0.3058823529411765,0.6279522397348192,0.4326660526616732,0.3819168123559119
0.30980392156862746,0.6197623914396909,0.4303497522715163,0.38107747937514275
0.3137254901960784,0.6115274964825261,0.4279241473733111,0.3801182211790647
0.3176470588235294,0.603250482258832,0.4253910105124056,0.3790401152660187
0.32156862745098036,0.5949342747335739,0.4227521250798325,0.3778442680172747
0.3254901960784314,0.5865817978605689,0.42000928537200055,0.3765318144430893
0.32941176470588235,0.5781959730056988,0.4171642966185221,0.375103917918257
0.3333333333333333,0.569779718374026,0.41421897498033994,0.37356176990790585
0.33725490196078434,0.561335948440892,0.41117514752014944,0.3719065896842382
0.3411764705882353,0.5528675733870662,0.4080346521469616,0.37013962403486433
0.34509803921568627,0.5443774985379926,0.4047993375365193,0.3682621469633395
0.34901960784313724,0.5358686238071672,0.40147106302915175,0.3662754593824737
0.3529411764705882,0.527343843143664,0.3980516985065344,0.36418088880094973
0.3568627450980392,0.5188060439837895,0.3945431242487329,0.36197978900376
0.3607843137254902,0.5102581067068293,0.39094723077279575,0.35967353972694166
0.36470588235294116,0.5017029040948182,0.3872659186540919,0.3572635463270728
0.3686274509803922,0.493143300796217,0.3835010983315003,0.3547512394459682
0.37254901960784315,0.48458215279334543,0.3796546898974924,0.35213807467100305
0.3764705882352941,0.4760223068733708,0.3757286228740786,0.34942553219147315
0.3803921568627451,0.4674666001025866,0.3717248359755333,0.34661511645139365
0.38431372549019605,0.45891785930365764,0.36764527685876025,0.3437083557991285
0.38823529411764707,0.45037890053543045,0.3634919018621022,0.3407068021342375
0.39215686274509803,0.441852528574824,0.35926667573336074,0.3376120305519191
0.396078431372549,0.4333415364002113,0.3549715713477484,0.3344256389854336
0.4,0.42484870467559904,0.35060856941645446,0.3311492478468822
0.403921568627451,0.4163768012347816,0.3461796581864733,0.3277844996667258
0.40784313725490196,0.40792858056449754,0.3416868331323124,0.324333058732428
0.4117647058823529,0.39950678328546096,0.337132096640167,0.3207966107266154
0.4156862745098039,0.3911141356299416,0.33251745768512353,0.3171768623651533
0.4196078431372549,0.3827533489143636,0.3278449315019263,0.3134755410355463
0.4235294117647059,0.37442711900515063,0.32311653924982725,0.30969439443608915
0.42745098039215684,0.3661381257757631,0.31833430767201104,0.30583519021619815
0.43137254901960786,0.35788903255258103,0.31350026875007414,0.301899715618384
0.43529411764705883,0.3496824855469146,0.30861645935402293,0.2978897771223323
0.4392156862745098,0.34152111327004425,0.3036849208882334,0.29380720009158845
0.44313725490196076,0.33340752592774153,0.2987076989338136,0.2896538284233693
0.44705882352941173,0.3253443147902087,0.2936868428877888,0.2854315242020444
0.45098039215686275,0.3173340515328187,0.28862440559952335,0.28114216735686604
0.4549019607843137,0.3093792875423882,0.28352244300478785,0.27678765532456495
0.4588235294117647,0.301482553183,0.27838301375786517,0.2723699027174584
0.4627450980392157,0.293646357014587,0.2732081788620892,0.26789084099776894
0.4666666666666667,0.2858731849565754,0.26800000129920176,0.2633524181588952
0.47058823529411764,0.27816549938789065,0.2627605456579058,0.25875659841442966
0.4745098039215686,0.2705257381734848,0.2574918777619961,0.2541053618957789
0.4784313725490196,0.26295631360630184,0.2521960642984366,0.24940070435930617
0.4823529411764706,0.25545961125219563,0.2468751724457542,0.24464463690398486
0.48627450980392156,0.2480379886837843,0.24153126950311904,0.2398391857006399
0.49019607843137253,0.24069377408751713,0.23616642252047054,0.23498639173393532
0.49411764705882355,0.23342926472637582,0.23078269793005235,0.23008831055837003
