scalar,RGB_r,RGB_g,RGB_b
0.0,0.3764704756407672,0.12156685029453382,0.6196079613468155
0.00392156862745098,0.38282000854631026,0.13040814407656906,0.6234864944761926
0.00784313725490196,0.3890478762844404,0.13895535017565244,0.6272581038625726
0.011764705882352941,0.39515527242004467,0.1472450071505259,0.6309225970296147
0.01568627450980392,0.40114327295486296,0.15530579876568415,0.6344798080758268
0.0196078431372549,0.40701285054099273,0.16316060378998665,0.6379295974430331
0.023529411764705882,0.4127648869621512,0.17082791639766903,0.6412718516877239
0.027450980392156862,0.4184001841271093,0.17832285686079402,0.6445064832548144
0.03137254901960784,0.4239194737803725,0.18565790729600756,0.6476334302534019
0.03529411764705882,0.4293234261029199,0.19284345798637287,0.6506526562341279
0.0392156862745098,0.43461265734922927,0.19988822016946406,0.6535641499678029
0.043137254901960784,0.4397877366447923,0.20679954277096024,0.6563679252249711
0.047058823529411764,0.4448491920500252,0.21358365879387764,0.65906402055613
0.050980392156862744,0.4497975159811905,0.22024587936019024,0.6616524990723412
0.054901960784313725,0.4546331700661212,0.22679074823236411,0.6641334482259882
0.058823529411764705,0.45935658950175823,0.23322216610811813,0.666506979591472
0.06274509803921569,0.4639681869713916,0.2395434915213815,0.6687732286456393
0.06666666666666667,0.4684683561717808,0.24575762344137803,0.6709323545477676
0.07058823529411765,0.4728574749937487,0.2518670694111962,0.6729845399189418
0.07450980392156863,0.4771359083942454,0.2578740021566133,0.674929990620677
0.0784313725490196,0.48130401099307546,0.263780306924494,0.6767689355326515
0.08235294117647059,0.4853621294233707,0.26958762130924413,0.6785016263294291
0.08627450980392157,0.4893106044613323,0.275297368948191,0.6801283372560634
0.09019607843137255,0.4931497729577265,0.2809107881792004,0.6816493649024835
0.09411764705882353,0.4968799695909399,0.28642895653287526,0.6830650279765761
0.09803921568627451,0.5005015284591344,0.2918528117603453,0.6843756670758806
0.10196078431372549,0.5040147845270196,0.29718316996381167,0.6855816444578323
0.10588235294117647,0.5074200749410253,0.3024207412915832,0.6866833438084885
0.10980392156862745,0.5107177402251352,0.3075661435757787,0.6876811700096823
0.11372549019607843,0.513908125368308,0.31261991422412955,0.688575548904559
0.11764705882352941,0.5169915808132419,0.3175825206237358,0.6893669270614514
0.12156862745098039,0.5199684633552036,0.32245436927130755,0.6900557715360587
0.12549019607843137,0.522839136958749,0.32723581380923733,0.6906425696319016
0.12941176470588234,0.5256039734993448,0.3319271621180945,0.691127828659024
0.13333333333333333,0.5282633534362076,0.33652868259252844,0.6915120756909267
0.13725490196078433,0.5308176664220366,0.3410406097080949,0.6917958573197145
0.1411764705882353,0.5332673118547704,0.3454631489703757,0.6919797394094477
0.14509803921568626,0.5356126993759911,0.3497964813243349,0.6920643068476856
0.14901960784313725,0.5378542493201715,0.35404076709062754,0.6920501632952282
